text;Jenis Asli;06/01/2020 - 12/01/2020;13/01/2020 - 19/01/2020;20/01/2020 - 26/01/2020;27/01/2020 - 02/02/2020;03/02/2020 - 09/02/2020;10/02/2020 - 16/02/2020;17/02/2020 - 23/02/2020;24/02/2020 - 01/03/2020;02/03/2020 - 08/03/2020;09/03/2020 - 15/03/2020;16/03/2020 - 22/03/2020;23/03/2020 - 29/03/2020;30/03/2020 - 05/04/2020;06/04/2020 - 12/04/2020;13/04/2020 - 19/04/2020;20/04/2020 - 26/04/2020;27/04/2020 - 03/05/2020;04/05/2020 - 10/05/2020;11/05/2020 - 17/05/2020;18/05/2020 - 24/05/2020;25/05/2020 - 31/05/2020;01/06/2020 - 07/06/2020;08/06/2020 - 14/06/2020;15/06/2020 - 21/06/2020;22/06/2020 - 28/06/2020;29/06/2020 - 05/07/2020;06/07/2020 - 12/07/2020;13/07/2020 - 19/07/2020;20/07/2020 - 26/07/2020;27/07/2020 - 02/08/2020;03/08/2020 - 09/08/2020;10/08/2020 - 16/08/2020;17/08/2020 - 23/08/2020;24/08/2020 - 30/08/2020;31/08/2020 - 06/09/2020;07/09/2020 - 13/09/2020;14/09/2020 - 20/09/2020;21/09/2020 - 27/09/2020;28/09/2020 - 04/10/2020;05/10/2020 - 11/10/2020;12/10/2020 - 18/10/2020;19/10/2020 - 25/10/2020;26/10/2020 - 01/11/2020;02/11/2020 - 08/11/2020;09/11/2020 - 15/11/2020;16/11/2020 - 22/11/2020;23/11/2020 - 29/11/2020;30/11/2020 - 06/12/2020;07/12/2020 - 13/12/2020;14/12/2020 - 20/12/2020;21/12/2020 - 27/12/2020;28/12/2020 - 03/01/2021;04/01/2021 - 10/01/2021;11/01/2021 - 17/01/2021;18/01/2021 - 24/01/2021;25/01/2021 - 31/01/2021;01/02/2021 - 07/02/2021;08/02/2021 - 14/02/2021;15/02/2021 - 21/02/2021;22/02/2021 - 28/02/2021;01/03/2021 - 07/03/2021;08/03/2021 - 14/03/2021;15/03/2021 - 21/03/2021;22/03/2021 - 28/03/2021;29/03/2021 - 04/04/2021;05/04/2021 - 11/04/2021;12/04/2021 - 18/04/2021;19/04/2021 - 25/04/2021;26/04/2021 - 02/05/2021;03/05/2021 - 09/05/2021;10/05/2021 - 16/05/2021;17/05/2021 - 23/05/2021;24/05/2021 - 30/05/2021;31/05/2021 - 06/06/2021;07/06/2021 - 13/06/2021;14/06/2021 - 20/06/2021;21/06/2021 - 27/06/2021;28/06/2021 - 04/07/2021;05/07/2021 - 11/07/2021;12/07/2021 - 18/07/2021;19/07/2021 - 25/07/2021;26/07/2021 - 01/08/2021;02/08/2021 - 08/08/2021;09/08/2021 - 15/08/2021;16/08/2021 - 22/08/2021;23/08/2021 - 29/08/2021;30/08/2021 - 05/09/2021;06/09/2021 - 12/09/2021;13/09/2021 - 19/09/2021;20/09/2021 - 26/09/2021;27/09/2021 - 03/10/2021;04/10/2021 - 10/10/2021;11/10/2021 - 17/10/2021;18/10/2021 - 24/10/2021;25/10/2021 - 31/10/2021;01/11/2021 - 07/11/2021;08/11/2021 - 14/11/2021;15/11/2021 - 21/11/2021;22/11/2021 - 28/11/2021;29/11/2021 - 05/12/2021;06/12/2021 - 12/12/2021;13/12/2021 - 19/12/2021;20/12/2021 - 26/12/2021;27/12/2021 - 02/01/2022;03/01/2022 - 09/01/2022;10/01/2022 - 16/01/2022;17/01/2022 - 23/01/2022;24/01/2022 - 30/01/2022;31/01/2022 - 06/02/2022;07/02/2022 - 13/02/2022;14/02/2022 - 20/02/2022;21/02/2022 - 27/02/2022;28/02/2022 - 06/03/2022;07/03/2022 - 13/03/2022;14/03/2022 - 20/03/2022;21/03/2022 - 27/03/2022;28/03/2022 - 03/04/2022;04/04/2022 - 10/04/2022;11/04/2022 - 17/04/2022;18/04/2022 - 24/04/2022;25/04/2022 - 01/05/2022;02/05/2022 - 08/05/2022;09/05/2022 - 15/05/2022;16/05/2022 - 22/05/2022;23/05/2022 - 29/05/2022;30/05/2022 - 05/06/2022;06/06/2022 - 12/06/2022;13/06/2022 - 19/06/2022;20/06/2022 - 26/06/2022;27/06/2022 - 03/07/2022;04/07/2022 - 10/07/2022;11/07/2022 - 17/07/2022;18/07/2022 - 24/07/2022;25/07/2022 - 31/07/2022;01/08/2022 - 07/08/2022;08/08/2022 - 14/08/2022;15/08/2022 - 21/08/2022;22/08/2022 - 28/08/2022;29/08/2022 - 04/09/2022;05/09/2022 - 11/09/2022;12/09/2022 - 18/09/2022;19/09/2022 - 25/09/2022;26/09/2022 - 02/10/2022;03/10/2022 - 09/10/2022;10/10/2022 - 16/10/2022;17/10/2022 - 23/10/2022;24/10/2022 - 30/10/2022;31/10/2022 - 06/11/2022;07/11/2022 - 13/11/2022;14/11/2022 - 20/11/2022;21/11/2022 - 27/11/2022;28/11/2022 - 04/12/2022;05/12/2022 - 11/12/2022;12/12/2022 - 18/12/2022;19/12/2022 - 25/12/2022;26/12/2022 - 01/01/2023;jenis
"OBH Surya Itrasal 100 ml - Obat Batuk Hitam Indikasi Umum
Untuk segala macam batuk karena pilek, influenza, bronchitis, asthma, kebanyakan merokok
Deskripsi
OBH ITRASAL merupakan Obat Batuk Hitam dengan kandungan succus liquiritiae, ammonium chloride, dan sasa. Obat ini digunakan untuk mengobati batuk berdahak dengan cara memudahkan pengeluaran dahak.
Kategori
Batuk dan Flu
Komposisi
Glycyrrhizae Succus 160 mg, Chloretum Ammonicum 100 mg, Solutio ammonia dan Sprituosa anisata 100 mg
Dosis
Anak-anak umur 1 - 3 tahun: sehari 3 kali 1/2 sendok teh., Anak-anak umur di atas 3 tahun: sehari 3 kali 1 sendok teh., Dewasa: sehari 3 kali 3 sendok teh.
Aturan Pakai
Dikonsumsi setelah makan
Kemasan
Dus, 1 Botol @ 100 ml";Ekspektoran, Herbal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;2;3;0;0;2;0;0;0;0;0;1;2;7;6;2;4;2;0;1;0;1;2;2;0;0;0;1;1;0;2;2;1;0;3;1;1;2;0;0;0;2;0;0;2;0;2;0;1;0;2;1;4;0;3;1;2;0;0;Ekspektoran, Herbal
"OBH Combi Batuk Berdahak Menthol 100Ml OBH Combi Batuk Berdahak Mentholadalah obat yang digunakan untuk meredakan batuk berdahak dengan cara bekerja sebagai ekspektoran yang membantu mengeluarkan dahak.
Indikasi Umum:
Meredakan gejala batuk berdahak.
Komposisi:
Tiap 5 mL sirup mengandung Succus liquiritiae extract 167 mg, ammonium Chloride 50 mg, anise oil 0.99 mg, ammon liqduid 7 microliter, menthol crystal 4.44 mg, peppermint oil 3.16 mg, alcohol 2%.
Dosis:
Dosis anak (usia 6 - 12 tahun) : 3 kali sehari 1 sendok takar (5 ml) Dosis dewasa : 3 kali sehari 3 sendok takar (15 ml).
Aturan Pakai:
Berikan sesudah makan.
Perhatian:
Ammonium Chloride dalam dosis besar dapat menimbulkan asidosis metabolik dan harus digunakan dengan hati-hati pada penderita insufisiensi hati, ginjal dan paru-paru.
Kontra Indikasi:
Penderita yang hipersensitif terhadap salah satu komponen obat.
Efek Samping:
Mual, muntah, perasaan tidak nyaman di perut. Gangguan elektrolit tubuh (dosis besar).
Golongan Produk:
Obat Bebas (Hijau)
Kemasan:
Botol @ 100 ml
Manufaktur:
Combiphar
No. Registrasi:
BPOM: DBL7204116137A1";Ekspektoran, Herbal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ekspektoran, Herbal
DEGIROL LOZ STRIP 10 TABLET / OBAT RADANG MULUT & TENGGOROKAN Degirol merupakan tablet hisap dengan kandungan Dequalinium Chloride. Degirol digunakan untuk mengobati sakit tenggorokan, radang atau infeksi pada rongga mulut dan tenggorokan, serta pencegahan flu dan batuk. Komposisi: Dequalinium Chloride 0.25 mg Indikasi: Sakit tenggorokan, peradangan pada rongga mulut dan tenggorokan seperti gingivitis, faringitis, periodontitis, laringitis dan angina, infeksi selaput lendir mulut seperti stomatitis. Dosis: Dewasa : 1 tablet hisap, tidak boleh ditelan atau dikunyah. Ulangi pemberian setiap 3-4 jam. Maksimal 8 tablet sehari. Aturan Pakai: Letakkan Degirol di lidah lalu hisap sampai habis seperti menghisap permen. Pastikan ada jarak waktu yang cukup antara satu dosis dengan dosis berikutnya. Jangan menggunakan Degirol melebihi dosis yang dianjurkan. Golongan Obat: Obat Bebas (Hijau) Kemasan: Strip @ 10 Tablet Bentuk Sediaan: Tablet Hisap Nomer Izin Edar: DBL9104508712A1 Diproduksi Oleh: DARYA VARIA LABORATORIA, PT;Antiseptik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Antiseptik
ENT Clear powder Packet (20 sachet) Produk original Garam Ent Clear Powder Sebagai nasal irigasi dengan volume besar, dapat meringankan gejala sinusitis dan dapat juga sebagai pencuci hidung,membantu mengurangi resistensi terhadap antibiotik Garam ENT Clear Powder Mengandung: 1. Air laut murni dari New Zealand. 2. Mengandung Trace Element yang isinya cooper (sebagai antiseptik) danMangan (sebagai antialergi). 3. Mudah dan nyaman digunakan.;Antiseptik;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;1;2;2;2;0;1;1;0;0;0;1;0;0;0;0;2;1;0;0;1;0;0;1;1;2;1;2;1;1;1;0;1;0;1;2;0;2;0;0;1;0;0;0;3;1;2;0;1;1;0;0;2;0;0;1;0;0;0;0;1;1;2;1;2;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Antiseptik, Dekongestan
Degirol Tablet Hisap (10 Strip/1 Box) DEGIROL adalah obat berbentuk tablet hisap yang mengandung Dequalinium Klorida. Obat ini digunakan untuk meredakan radang tenggorokan dan rongga mulut seperti sariawan, radang gusi, serta radang amandel. KEGUNAAN: - Sakit tenggorokan akibat peradangan - Sariawan - Radang gusi (gingivitis) - Periodontitis - Laryngitis atau radang pada laring - Angina Vincent (radang selaput lendir mulut dengan tukak-tukak berselaput) - Infeksi selaput lendir mulut, misalnya stomatitis DOSIS: - Satu tablet hisap setiap 3 sampai 4 jam, atau sesuai dengan petunjuk dokter. - Tidak boleh melebihi 8 tablet sehari. - Penggunaannya mudah, cukup dihisap seperti makan permen.;Antiseptik;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1;3;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;4;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;4;0;0;1;2;0;0;1;2;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;1;0;3;2;3;2;3;1;0;1;1;1;0;1;0;0;0;0;0;0;2;0;0;1;1;0;0;Antiseptik
Promag tab Promag adalah obat untuk mengatasi sakit maag;Antasida;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;2;2;0;0;0;2;0;2;0;0;0;2;1;1;1;0;0;2;0;0;1;1;0;0;1;1;1;0;0;0;0;2;0;1;1;0;0;1;0;0;1;0;1;1;2;1;0;0;0;0;0;2;1;0;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Antasida
PANADOL Extend for Muscle & Joint Pain 18 Tablets (Singapore) Panadol Extend is specially for muscle and joint pain for sustained release of paracetamol that provides long lasting relief. Provides up to 8 hours of joint pain relief associated with osteoarthritis pain with a suitability profile you can trust. Panadol Extend is a sustained release formulation of paracetamol that provides gentle and long-lasting relief. It can provide up to 8 hours of relief of pain associated with osteoarthritis, backaches, mild to moderate joint and muscular aches such as sprains, strains and sports injuries.;Analgesik, Antipiretik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Analgesik, Antipiretik
"Panadol Cold & Flu - Membantu Meredakan Batuk, Pilek, dan Flu Panadol Cold & Flu berkhasiat untuk membantu meredakan gejala pilek, flu, dan batuk, selain itu juga dapat menurunkan panas akibat demam yang disertai flu dan meredakan batuk yang disertai tenggorokan gatal.
Indikasi : Untuk meredakan gejala hidung tersumbat, batuk yang tidak berdahak, dan demam yang menyertai flu
Kemasan : Blister @ 10 kaplet
Diproduksi oleh : PT. Streling Products Indonesia
BPOM No : No. Reg. DTL 9424502404A1";Analgesik, Antipiretik;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;1;0;3;0;0;2;2;2;0;2;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;2;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Analgesik, Antipiretik, Dekongestan
"Panadol - Obat Penurun Panas, Pereda Nyeri, Sakit Kepala, Sakit Gigi Deskripsi
PANADOL merupakan obat dengan kandungan Paracetamol yang dapat digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi, sakit pada otot dan menurunkan demam. Paracetamol bekerja pada pusat pengatur suhu di hipotalamus untuk menurunkan suhu tubuh (antipiretik) serta menghambat sintesis prostaglandin sehingga dapat mengurangi nyeri ringan sampai sedang (analgesik).
Indikasi Umum
Obat ini digunakan untuk meredakan nyeri ringan hingga sedang seperti sakit kepala, sakit gigi, sakit pada otot, serta menurunkan demam.
Komposisi
Setiap kaplet mengandung Paracetamol 500 mg
Dosis
Dewasa dan anak usia lebih dari 12 tahun : 1 - 2 kaplet, 3-4 kali sehari (Maksimum 8 kaplet dalam 24 jam). Anak-anak usia 6-11 tahun : 1/2 - 1 kaplet, 3-4 kali sehari (maksimum 4 kaplet dalam 24 jam). Minimum interval penggunaan dosis adalah 4 jam. Jangan melebihi dosis yang dianjurkan, atau menurut aturan dokter.
Aturan Pakai
Dikonsumsi sebelum atau sesudah makan.
Perhatian
Hati-hati penggunaan obat ini pada penderita penyakit ginjal. Bila setelah 2 hari demam tidak menurun atau setelah 5 hari nyeri tidak menghilang, segera hubungi Unit Pelayanan Kesehatan. Penggunaan obat ini pada penderita yang mengkonsumsi alkohol, dapat meningkatkan risiko kerusakan fungsi hati. Kategori kehamilan : Kategori B: Mungkin dapat digunakan oleh wanita hamil. Penelitian pada hewan uji tidak memperlihatkan ada nya risiko terhadap janin, namun belum ada bukti penelitian langsung terhadap wanita hamil.
Kontra Indikasi
Penderita yang hipersensitif terhadap paracetamol dan bahan lain dalam obat ini. Penderita dengan gangguan fungsi hati.
Efek Samping
Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Penggunaan jangka panjang dan dosis besar dapat menyebabkan kerusakan hati. Efek samping lain yaitu reaksi hipersensitifitas seperti kemerahan.";Analgesik, Antipiretik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;Analgesik, Antipiretik
"Margaritae cough capsule obat batuk MARGARITAE COUGH CAPSULES
Secara tradisional digunakan untuk membantu mengobati batuk asma , sesak nafas ,
bronkitis , batuk akibat rokok , batuk alergi dingin / debu dan batuk akibat flek paru - paru.
MARGARITAE COUGH CAPSULES efektif diminum untuk membantu menjaga kesehatan paru - paru ,
mengencerkan dahak , dan melegakan pernafasan.
terbuat dari 100% bahan herbal alami pilihan , aman diminum tanpa efek samping.
DOSIS DAN ATURAN PAKAI :
sekali minum 2 kapsul , 2 kali sehari . diminum dengan air hangat.
KEMASAN : Botol berisi @ 30 kapsul
CARA PENYIMPANAN :
Simpan di tempat sejuk dan kering . terhindar dari sinar matahari langsung
Produk asli Import";Herbal;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;2;1;1;2;2;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Herbal
