text;Jenis
"SANMOL FORTE 650 MG STRIP 4 TABLET Deskripsi:
Sanmol digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Komposisi:
Tiap tablet mengandung paracetamol 650 mg
Dosis:
Dewasa: 0.5-1 gram, 3-4 kali sehari, maksimal 4 gram per hari.Anak < 1 tahun: 60 mg, 3-4 kali sehari.Anak 1-6 tahun: 125 mg, 3-4 kali sehari, maksimal 750 mg per hari. Anak 7-12 tahun: 250 mg, 3-4 kali sehari, maksimal 1 gram per hari.
Indikasi:
Digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Perhatian Khusus:
Pemberian tidak lebih dari 5 x sehari, Hati-hati menggunakan obat ini pada pasien dengan gangguan fungsi hati dan ginjal
Kemasan:
Strip 4 kaplet
NIE:
DBL1122235610B1
Golongan:
Obat Bebas";Analgesik, Antipiretik
"SANMOL 500 mg / SANMOL TABLET (HARGA/ STRIP) TOKOPAGIMALAM MENJUAL BERBAGAI OBAT UNTUK ANDA KONSUMSI
BARANG ORIGINAL + EXPIRED LAMA exp mar 26";Analgesik, Antipiretik
"SANMOL 500 MG STRIP 4 TABLET Deskripsi:
Sanmol merupakan obat yang digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Komposisi:
Tiap tablet mengandung paracetamol 500 mg
Dosis:
Dewasa: 0.5-1 gram, 3-4 kali sehari, maksimal 4 gram per hari.Anak < 1 tahun: 60 mg, 3-4 kali sehari.Anak 1-6 tahun: 125 mg, 3-4 kali sehari, maksimal 750 mg per hari. Anak 7-12 tahun: 250 mg, 3-4 kali sehari, maksimal 1 gram per hari.
Indikasi:
Digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Perhatian Khusus:
Hati-hati penggunaan pada pasien dengan defisiensi G6PD; alkoholisme kronis atau kekurangan gizi. Gangguan ginjal dan hati. Neonatus dan anak-anak. Kehamilan dan menyusui.
Kemasan:
Strip 4 tablet
NIE:
DBL7622235610A2
Golongan:
Obat Bebas";Analgesik, Antipiretik
ERPHAMOL FORTE 650 mg BOX Paracetamol-Obat Demam,Pusing & Nyeri ERPHAMOL FORTE HARGA TERCANTUM ADALAH HARGA PERBOX!;Analgesik, Antipiretik
"PARACETAMOL TRIMAN 500 MG STRIP 10 KAPLET Deskripsi:
Merupakan obat yang dapat digunakan untuk meredakan nyeri dan demam.
Komposisi:
Tiap kaplet mengandung Paracetamol 500 mg
Dosis:
Dewasa: 0.5-1 gram, 3-4 kali sehari, maksimal 4 gram per hari.Anak < 1 tahun: 60 mg, 3-4 kali sehari.Anak 1-6 tahun: 125 mg, 3-4 kali sehari, maksimal 750 mg per hari. Anak 7-12 tahun: 250 mg, 3-4 kali sehari, maksimal 1 gram per hari.
Indikasi:
Digunakan untuk meredakan nyeri dan demam.
Perhatian Khusus:
Hati-hati penggunaan pada pasien dengan defisiensi G6PD; alkoholisme kronis atau kekurangan gizi. Gangguan ginjal dan hati. Neonatus dan anak-anak. Kehamilan dan menyusui.
Kemasan:
STRIP @ 10 KAPLET
NIE:
GBL1825904804A2
Golongan:
Obat Bebas";Analgesik, Antipiretik
Obat Demam Panadol Regular Warna Biru - 500 mg (Harga Satuan) Panadol Regular (Warna Biru). Berfungsi untuk meredakan nyeri seperti sakit kepala, sakit gigi, dan nyeri otot, serta menurunkan demam. Tiap tablet Panadol Regular mengandung 500 mg paracetamol (Acetaminophen) yaitu zat aktif yang memiliki aktivitas sebagai penurun demam/antipiretik dan pereda nyeri/analgesik yang bekerja dengan cara menghambat pembentukan prostaglandin yaitu zat yang memicu nyeri dan demam di hipotalamus untuk meningkatkan pelepasan panas supaya suhu tubuh normal. Tanyakan terlebih dahulu stok barang sebelum order, karena dikuatirkan stok barang habis terjual. Terima Kasih. Bubble Wrap Tambahan Keamanan Produk :;Analgesik, Antipiretik
paracetamol 500mg mengatasi demam nyeri sakit kepala dan ngilu ngilu;Analgesik, Antipiretik
"PARACETAMOL IMFARMIND 500 MG STRIP 10 KAPLET Deskripsi:
Obat ini digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Komposisi:
Tiap kaplet mengandung paracetamol 500 mg
Dosis:
Dewasa: 3-4 kali sehari 1 tablet. Maksimal 4 ram sehari.
Indikasi:
Digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Perhatian Khusus:
Hati-hati penggunaan pada pasien dengan gangguan hati dan ginjal, anak-anak, wanita hamil dan menyusui, malnutrisi kronik atau dehidrasi.
Kemasan:
Strip @ 10 Kaplet
NIE:
GBL8509601204A2
Golongan:
Obat Bebas";Analgesik, Antipiretik
SUMAGESIC PARACETAMOL 600mg ISI 4 TABLET BARANG ORIGINAL/ NON RETUR. EXP DATE: 03/2025 Sumagesic merupakan produk obat dari PT Darya Varia. Obat ini merupakan obat analgesik (penahan sakit). Produk ini digunakan untuk mengobati sakit kepala, sakit gigi, sakit pada persendian, rheumatoid arthritis, osteoarthritis. Sumagesic juga dapat digunakan untuk pengobatan demam, efektif menurunkan demam...;Analgesik, Antipiretik
"BODREX 600 MG/50 MG BOX 20 TABLET Deskripsi:
Bodrex merupakan obat analgesik-antipiretik yang dapat digunakan untuk menurunkan demam, meredakan nyeri seperti sakit gigi dan sakit kepala.
Komposisi:
Setiap tablet mengandung paracetamol 600 mg, caffeine 50 mg.
Dosis:
Dewasa: 3-4 kali sehari, 1-2 tablet. Anak-anak 6-12 tahun: 3-4 kali sehari, 1/2-1 tablet.
Indikasi:
Digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Perhatian Khusus:
'-
Kemasan:
Dus, 2 strip @ 10 tablet
NIE:
DBL8522700810A1
Golongan:
Obat Bebas";Analgesik, Antipiretik
"PANADOL EXTRA 1 STRIP ISI 10 TABLET EFEK SAMPING
reaksi hipersensitifitas seperti kemerahan atau gatal pada kulit, kulit terkelupas, kadang-kadang gangguan pernafasan atau bengkak pada bibir, lidah, tenggorokan, sariawan, memar-memar, pendarahan.
DESKRIPSI
PANADOL EXTRA merupakan obat dengan kandungan Paracetamol dan Caffeine. Obat ini dapat digunakan untuk meringankan sakit kepala dan sakit gigi. Paracetamol sebagai analgetik, bekerja dengan meningkatkan ambang rasa sakit dan Caffeine bekerja dengan menghambat kerja reseptor adenosin sehingga mengurangi rasa nyeri.
NIE
DBL9424502004A1
KANDUNGAN/KOMPOSISI
Paracetamol 500 mg, Caffeine 65 mg.
KONTRAINDIKASI // JANGAN DIGUNAKAN OLEH
hipersensitif terhadap paracetamol dan penderita gangguan fungsi hati.
DOSIS
Dewasa dan anak-anak lebih dari 12 tahun : 3-4 kali sehari 1 kaplet, dikonsumsi dengan air minum. Jangan lebih dari 8 kaplet dalam 24 jam serta minimum interval penggunaan dosis adalah 4 jam.
CARA PEMAKAIAN
Sebelum atau sesudah makan.
INDIKASI/ KEGUNAAN
Meringankan sakit kepala dan sakit gigi.
MANUFAKTUR
STERLING PRODUCTS INDONESIA
KEMASAN
1 Blister @10 Kaplet
PERHATIAN KHUSUS
penderita penyakit ginjal, penggunaan pada penderita yang mengkonsumsi alkohol, dapat meningkatkan risiko kerusakan fungsi hati.
Tidak dianjurkan untuk pada anak dibawah usia 12 tahun, wanita hamil dan menyusui.
CARA PENYIMPANAN
Sejuk dan Kering
PERLU RESEP
Tidak
GOLONGAN
Obat Bebas";Analgesik, Antipiretik
"Sanmol Tablet & Sanmol Forte Obat Penurun Panas Demam Pereda Nyeri - Sanmol Tablet SANMOL TABLET 500 MG amp; SANMOL FORTE TABLET650 MG ED : 03/2024 SANMOL mengandung Parasetamol yang bekerja sebagai analgesik, bekerja dengan meningkatkan ambang rangsang rasa sakit dan sebagai antipiretik, diduga bekerja langsung pada pusat pengatur panas dihipotalamus. Indikasi SANMOL diindikasikan untuk meringankan rasa sakit pada keadaan sakit kepala, sakit gigi, dan menurunkan demam. Khasiat : Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam. Cara Pakai : Dewasa : 1 tablet, 3 - 4 kali sehari Anak 6 - 12 tahun : 1/2 tablet, 3 -4 kali sehari Atau sesuai petunjuk dokter Komposisi : Sanmol Tablet = Parasetamol 500 mg Sanmol Forte = Parasetamol 650 mg Kemasan : Strip isi 4 tablet Produksi : PT Caprifarmindo Labs BPOM No : No. Reg. DBL 7622235610A2";Analgesik, Antipiretik
SANMOL TABLET 25 STRIP Sanmol adalah obat yang bermanfaat untuk meredakan demam, sakit kepala, atau sakit gigi. Obat ini tersedia dalam bentuk tablet, sirop, dan cairan infus. Sanmol mengandung paracetamol, yang memiliki efek analgetik dan antipiretik.;Analgesik, Antipiretik
"PANADOL STRIP ISI 10 KAPLET Deskripsi:
Panadol merupakan obat analgesik-antipiretik yang dapat digunakan untuk menurunkan demam, meredakan nyeri seperti sakit gigi dan sakit kepala.
Komposisi:
Tiap kaplet mengandung paracetamol 500 mg
Dosis:
Dewasa: 0.5-1 gram, 3-4 kali sehari, maksimal 4 gram per hari.Anak < 1 tahun: 60 mg, 3-4 kali sehari.Anak 1-6 tahun: 125 mg, 3-4 kali sehari, maksimal 750 mg per hari. Anak 7-12 tahun: 250 mg, 3-4 kali sehari, maksimal 1 gram per hari.
Indikasi:
Analgesik-antipiretik yang dapat digunakan untuk menurunkan demam, meredakan nyeri seperti sakit gigi dan sakit kepala.
Perhatian Khusus:
Hati-hati penggunaan pada pasien dengan defisiensi G6PD; alkoholisme kronis atau kekurangan gizi. Gangguan ginjal dan hati. Neonatus dan anak-anak. Kehamilan dan menyusui.
Kemasan:
Strip 10 kaplet
NIE:
DBL9624502804A1
Golongan:
Obat Bebas";Analgesik, Antipiretik
PARACETAMOL TAB 500 MG PIM @ 10 TABLET PARACETAMOL TABLET merupakan obat yang dapat digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi, dan menurunkan demam. Indikasi Umum Obat ini digunakan untuk meredakan nyeri ringan hingga sedang seperti sakit kepala, sakit gigi, nyeri otot, serta menurunkan demam. Komposisi Setiap tablet mengandung Paracetamol 500 mg Dosis Dewasa: 1-2 kaplet, 3-4 kali per hari. Penggunaan maximum 8 kaplet per hari. Anak 7-12 tahun : 0.5 - 1 kaplet, 3-4 kali per hari. Penggunaan maximum 4 kaplet per hari. Aturan Pakai Obat dapat diminum sebelum atau sesudah makan;Analgesik, Antipiretik
BIOGESIC BLISTER 4 TABLET / OBAT DEMAM NYERI / KIMIA FARMA Biogesic Blister 4 Tablet mengandung: Paracetamol 500 mg. Biogesic digunakan untuk menurunkan demam dan meredakan nyeri, seperti sakit kepala, dan sakit gigi. Paracetamol adalah jenis obat yang termasuk kelompok analgesik atau pereda rasa sakit dan dipakai sebagai antipiretik atau menurunkan demam. Paracetamol mengurangi rasa sakit dengan cara mengurangi produksi zat dalam tubuh yang disebut prostaglandin. Prostaglandin adalah unsur yang dilepaskan tubuh sebagai reaksi terhadap rasa sakit. Paracetamol menghalangi produksi prostaglandin, sehingga tubuh menjadi tidak terlalu fokus pada rasa sakit. Paracetamol juga bekerja dengan memengaruhi bagian otak yang berfungsi mengendalikan suhu tubuh.;Analgesik, Antipiretik
