Kategori: Semua kategori

Minggu,batuk covid: (Indonesia)
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,2
2020-03-15,9
2020-03-22,22
2020-03-29,21
2020-04-05,16
2020-04-12,12
2020-04-19,9
2020-04-26,10
2020-05-03,8
2020-05-10,6
2020-05-17,8
2020-05-24,9
2020-05-31,7
2020-06-07,7
2020-06-14,7
2020-06-21,7
2020-06-28,8
2020-07-05,7
2020-07-12,6
2020-07-19,6
2020-07-26,5
2020-08-02,6
2020-08-09,5
2020-08-16,5
2020-08-23,6
2020-08-30,5
2020-09-06,6
2020-09-13,8
2020-09-20,8
2020-09-27,6
2020-10-04,5
2020-10-11,5
2020-10-18,4
2020-10-25,4
2020-11-01,4
2020-11-08,5
2020-11-15,6
2020-11-22,8
2020-11-29,10
2020-12-06,10
2020-12-13,12
2020-12-20,16
2020-12-27,17
2021-01-03,18
2021-01-10,18
2021-01-17,17
2021-01-24,14
2021-01-31,13
2021-02-07,13
2021-02-14,11
2021-02-21,10
2021-02-28,10
2021-03-07,11
2021-03-14,10
2021-03-21,9
2021-03-28,9
2021-04-04,9
2021-04-11,10
2021-04-18,11
2021-04-25,9
2021-05-02,10
2021-05-09,10
2021-05-16,11
2021-05-23,11
2021-05-30,13
2021-06-06,15
2021-06-13,30
2021-06-20,61
2021-06-27,88
2021-07-04,100
2021-07-11,95
2021-07-18,73
2021-07-25,57
2021-08-01,45
2021-08-08,33
2021-08-15,24
2021-08-22,19
2021-08-29,14
2021-09-05,12
2021-09-12,9
2021-09-19,8
2021-09-26,7
2021-10-03,6
2021-10-10,6
2021-10-17,4
2021-10-24,5
2021-10-31,4
2021-11-07,3
2021-11-14,3
2021-11-21,3
2021-11-28,2
2021-12-05,3
2021-12-12,6
2021-12-19,4
2021-12-26,4
2022-01-02,4
2022-01-09,4
2022-01-16,6
2022-01-23,8
2022-01-30,14
2022-02-06,22
2022-02-13,26
2022-02-20,23
2022-02-27,17
2022-03-06,12
2022-03-13,7
2022-03-20,5
2022-03-27,4
2022-04-03,3
2022-04-10,2
2022-04-17,2
2022-04-24,2
2022-05-01,1
2022-05-08,2
2022-05-15,1
2022-05-22,1
2022-05-29,2
2022-06-05,1
2022-06-12,2
2022-06-19,3
2022-06-26,3
2022-07-03,2
2022-07-10,4
2022-07-17,5
2022-07-24,6
2022-07-31,7
2022-08-07,6
2022-08-14,5
2022-08-21,5
2022-08-28,5
2022-09-04,5
2022-09-11,4
2022-09-18,4
2022-09-25,3
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,3
2022-10-30,4
2022-11-06,4
2022-11-13,6
2022-11-20,5
2022-11-27,4
2022-12-04,3
2022-12-11,3
2022-12-18,2
2022-12-25,2
