Kategori: Semua kategori

Minggu,covid: (Indonesia)
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,1
2020-02-23,1
2020-03-01,3
2020-03-08,9
2020-03-15,45
2020-03-22,82
2020-03-29,100
2020-04-05,88
2020-04-12,85
2020-04-19,75
2020-04-26,73
2020-05-03,57
2020-05-10,56
2020-05-17,58
2020-05-24,56
2020-05-31,52
2020-06-07,47
2020-06-14,42
2020-06-21,33
2020-06-28,31
2020-07-05,33
2020-07-12,35
2020-07-19,32
2020-07-26,29
2020-08-02,28
2020-08-09,27
2020-08-16,22
2020-08-23,25
2020-08-30,28
2020-09-06,33
2020-09-13,31
2020-09-20,30
2020-09-27,27
2020-10-04,24
2020-10-11,21
2020-10-18,20
2020-10-25,19
2020-11-01,18
2020-11-08,19
2020-11-15,21
2020-11-22,22
2020-11-29,27
2020-12-06,25
2020-12-13,28
2020-12-20,28
2020-12-27,31
2021-01-03,37
2021-01-10,33
2021-01-17,32
2021-01-24,28
2021-01-31,26
2021-02-07,23
2021-02-14,24
2021-02-21,21
2021-02-28,22
2021-03-07,21
2021-03-14,19
2021-03-21,20
2021-03-28,19
2021-04-04,18
2021-04-11,16
2021-04-18,21
2021-04-25,29
2021-05-02,21
2021-05-09,20
2021-05-16,21
2021-05-23,21
2021-05-30,29
2021-06-06,27
2021-06-13,46
2021-06-20,84
2021-06-27,90
2021-07-04,99
2021-07-11,85
2021-07-18,66
2021-07-25,54
2021-08-01,56
2021-08-08,39
2021-08-15,34
2021-08-22,32
2021-08-29,28
2021-09-05,25
2021-09-12,23
2021-09-19,20
2021-09-26,17
2021-10-03,19
2021-10-10,18
2021-10-17,17
2021-10-24,15
2021-10-31,15
2021-11-07,14
2021-11-14,14
2021-11-21,12
2021-11-28,14
2021-12-05,12
2021-12-12,54
2021-12-19,11
2021-12-26,10
2022-01-02,13
2022-01-09,13
2022-01-16,21
2022-01-23,18
2022-01-30,26
2022-02-06,29
2022-02-13,28
2022-02-20,22
2022-02-27,16
2022-03-06,15
2022-03-13,12
2022-03-20,10
2022-03-27,9
2022-04-03,8
2022-04-10,7
2022-04-17,7
2022-04-24,5
2022-05-01,5
2022-05-08,6
2022-05-15,6
2022-05-22,5
2022-05-29,4
2022-06-05,6
2022-06-12,8
2022-06-19,7
2022-06-26,6
2022-07-03,6
2022-07-10,7
2022-07-17,8
2022-07-24,8
2022-07-31,7
2022-08-07,6
2022-08-14,6
2022-08-21,6
2022-08-28,5
2022-09-04,5
2022-09-11,4
2022-09-18,4
2022-09-25,4
2022-10-02,4
2022-10-09,4
2022-10-16,4
2022-10-23,6
2022-10-30,6
2022-11-06,8
2022-11-13,7
2022-11-20,5
2022-11-27,4
2022-12-04,3
2022-12-11,3
2022-12-18,3
2022-12-25,3
