Kategori: Semua kategori

Minggu,isolasi mandiri: (Indonesia)
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,2
2020-03-22,7
2020-03-29,8
2020-04-05,7
2020-04-12,9
2020-04-19,9
2020-04-26,6
2020-05-03,5
2020-05-10,4
2020-05-17,5
2020-05-24,5
2020-05-31,5
2020-06-07,5
2020-06-14,6
2020-06-21,4
2020-06-28,4
2020-07-05,5
2020-07-12,5
2020-07-19,5
2020-07-26,4
2020-08-02,5
2020-08-09,4
2020-08-16,5
2020-08-23,5
2020-08-30,7
2020-09-06,8
2020-09-13,12
2020-09-20,11
2020-09-27,10
2020-10-04,8
2020-10-11,7
2020-10-18,7
2020-10-25,5
2020-11-01,6
2020-11-08,7
2020-11-15,9
2020-11-22,10
2020-11-29,11
2020-12-06,14
2020-12-13,15
2020-12-20,20
2020-12-27,24
2021-01-03,26
2021-01-10,26
2021-01-17,27
2021-01-24,24
2021-01-31,18
2021-02-07,15
2021-02-14,15
2021-02-21,12
2021-02-28,12
2021-03-07,12
2021-03-14,9
2021-03-21,9
2021-03-28,8
2021-04-04,8
2021-04-11,8
2021-04-18,9
2021-04-25,9
2021-05-02,9
2021-05-09,9
2021-05-16,10
2021-05-23,11
2021-05-30,13
2021-06-06,18
2021-06-13,40
2021-06-20,75
2021-06-27,100
2021-07-04,88
2021-07-11,68
2021-07-18,51
2021-07-25,37
2021-08-01,25
2021-08-08,17
2021-08-15,11
2021-08-22,7
2021-08-29,5
2021-09-05,4
2021-09-12,3
2021-09-19,3
2021-09-26,2
2021-10-03,2
2021-10-10,1
2021-10-17,1
2021-10-24,1
2021-10-31,1
2021-11-07,1
2021-11-14,1
2021-11-21,1
2021-11-28,2
2021-12-05,1
2021-12-12,1
2021-12-19,1
2021-12-26,1
2022-01-02,1
2022-01-09,1
2022-01-16,2
2022-01-23,6
2022-01-30,14
2022-02-06,22
2022-02-13,20
2022-02-20,16
2022-02-27,9
2022-03-06,5
2022-03-13,3
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,1
2022-04-24,<1
2022-05-01,0
2022-05-08,1
2022-05-15,1
2022-05-22,<1
2022-05-29,1
2022-06-05,1
2022-06-12,<1
2022-06-19,1
2022-06-26,1
2022-07-03,1
2022-07-10,1
2022-07-17,1
2022-07-24,2
2022-07-31,2
2022-08-07,1
2022-08-14,1
2022-08-21,1
2022-08-28,1
2022-09-04,1
2022-09-11,1
2022-09-18,1
2022-09-25,<1
2022-10-02,1
2022-10-09,1
2022-10-16,1
2022-10-23,1
2022-10-30,1
2022-11-06,1
2022-11-13,2
2022-11-20,1
2022-11-27,1
2022-12-04,1
2022-12-11,<1
2022-12-18,<1
2022-12-25,<1
