Kategori: Semua kategori

Minggu,obat demam covid: (Indonesia)
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,8
2020-04-05,10
2020-04-12,7
2020-04-19,0
2020-04-26,0
2020-05-03,8
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,8
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,9
2020-09-27,0
2020-10-04,9
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,8
2020-11-22,0
2020-11-29,9
2020-12-06,14
2020-12-13,10
2020-12-20,17
2020-12-27,10
2021-01-03,14
2021-01-10,16
2021-01-17,14
2021-01-24,8
2021-01-31,16
2021-02-07,9
2021-02-14,11
2021-02-21,10
2021-02-28,8
2021-03-07,9
2021-03-14,8
2021-03-21,0
2021-03-28,9
2021-04-04,13
2021-04-11,10
2021-04-18,7
2021-04-25,0
2021-05-02,11
2021-05-09,10
2021-05-16,10
2021-05-23,9
2021-05-30,19
2021-06-06,23
2021-06-13,40
2021-06-20,65
2021-06-27,100
2021-07-04,94
2021-07-11,68
2021-07-18,46
2021-07-25,46
2021-08-01,36
2021-08-08,16
2021-08-15,18
2021-08-22,8
2021-08-29,9
2021-09-05,12
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,15
2022-02-06,23
2022-02-13,28
2022-02-20,20
2022-02-27,14
2022-03-06,7
2022-03-13,0
2022-03-20,6
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,6
2022-08-07,0
2022-08-14,0
2022-08-21,7
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,5
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,6
2022-10-30,6
2022-11-06,8
2022-11-13,6
2022-11-20,5
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
