Kategori: Semua kategori

Minggu,panic buying: (Indonesia)
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,38
2020-03-08,15
2020-03-15,64
2020-03-22,65
2020-03-29,100
2020-04-05,57
2020-04-12,30
2020-04-19,26
2020-04-26,15
2020-05-03,12
2020-05-10,9
2020-05-17,5
2020-05-24,3
2020-05-31,6
2020-06-07,4
2020-06-14,3
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,2
2020-09-27,3
2020-10-04,2
2020-10-11,0
2020-10-18,0
2020-10-25,2
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,2
2020-11-29,0
2020-12-06,2
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,3
2021-01-24,3
2021-01-31,8
2021-02-07,3
2021-02-14,5
2021-02-21,3
2021-02-28,2
2021-03-07,2
2021-03-14,2
2021-03-21,2
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,4
2021-06-13,0
2021-06-20,0
2021-06-27,15
2021-07-04,38
2021-07-11,10
2021-07-18,4
2021-07-25,2
2021-08-01,4
2021-08-08,2
2021-08-15,3
2021-08-22,2
2021-08-29,3
2021-09-05,2
2021-09-12,2
2021-09-19,0
2021-09-26,0
2021-10-03,3
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,10
2021-11-14,3
2021-11-21,0
2021-11-28,2
2021-12-05,0
2021-12-12,2
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,15
2022-01-23,7
2022-01-30,6
2022-02-06,4
2022-02-13,5
2022-02-20,6
2022-02-27,5
2022-03-06,13
2022-03-13,11
2022-03-20,6
2022-03-27,5
2022-04-03,4
2022-04-10,4
2022-04-17,2
2022-04-24,6
2022-05-01,0
2022-05-08,2
2022-05-15,0
2022-05-22,2
2022-05-29,2
2022-06-05,2
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,2
2022-07-24,2
2022-07-31,3
2022-08-07,3
2022-08-14,2
2022-08-21,2
2022-08-28,11
2022-09-04,2
2022-09-11,2
2022-09-18,0
2022-09-25,0
2022-10-02,1
2022-10-09,3
2022-10-16,2
2022-10-23,2
2022-10-30,2
2022-11-06,0
2022-11-13,2
2022-11-20,2
2022-11-27,0
2022-12-04,2
2022-12-11,2
2022-12-18,0
2022-12-25,0
