minggu_standar;tren_0;tren_1;tren_2;tren_3;tren_4;tren_5;tren_6;tren_7;tren_8;tren_9;tren_10;tren_11;tren_12;tren_13
2019-12-23;2;0.0;18;0.0;0.0;25;0;0.0;35;0.5;0;0.0;0;0
2019-12-30;2;0.0;20;0.0;0.0;25;0;0.0;28;0.5;0;0.0;0;0
2020-01-06;3;0.0;22;0.0;0.0;25;0;0.0;22;0.5;0;0.0;0;0
2020-01-13;3;0.0;21;0.0;0.0;25;0;0.0;35;0.5;0;0.0;0;0
2020-01-20;4;0.0;23;0.0;0.0;25;0;0.0;31;1.0;0;0.0;0;0
2020-01-27;5;0.0;24;0.0;0.0;26;0;0.0;45;2.0;0;0.0;0;0
2020-02-03;4;0.0;25;0.0;0.0;26;0;0.5;32;2.0;0;0.0;0;0
2020-02-10;3;0.0;23;0.0;0.5;29;0;1.0;49;1.0;0;0.0;0;0
2020-02-17;3;0.0;22;0.0;0.0;28;0;1.0;53;1.0;0;0.0;0;0
2020-02-24;27;0.0;30;0.0;0.0;26;0;3.0;40;23.0;0;0.0;0;38
2020-03-02;20;0.0;29;0.0;0.0;29;2;9.0;47;21.0;0;0.0;0;15
2020-03-09;100;0.0;60;0.0;0.0;23;9;45.0;46;100.0;6;2.0;0;64
2020-03-16;66;0.0;95;0.0;0.0;19;22;82.0;50;62.0;12;7.0;0;65
2020-03-23;22;0.0;74;0.0;4.0;18;21;100.0;34;32.0;100;8.0;8;100
2020-03-30;13;0.0;43;0.0;97.0;18;16;88.0;36;18.0;36;7.0;10;57
2020-04-06;10;0.0;40;0.0;97.0;19;12;85.0;32;12.0;20;9.0;7;30
2020-04-13;7;0.0;35;0.0;100.0;17;9;75.0;29;8.0;10;9.0;0;26
2020-04-20;5;0.0;31;0.0;72.0;17;10;73.0;26;6.0;8;6.0;0;15
2020-04-27;5;0.0;31;0.0;61.0;18;8;57.0;20;5.0;8;5.0;8;12
2020-05-04;4;0.0;29;0.0;56.0;19;6;56.0;20;4.0;7;4.0;0;9
2020-05-11;4;0.0;27;0.0;59.0;18;8;58.0;22;4.0;5;5.0;0;5
2020-05-18;4;0.0;31;0.0;57.0;18;9;56.0;30;5.0;7;5.0;0;3
2020-05-25;4;0.0;36;0.0;64.0;20;7;52.0;28;6.0;9;5.0;0;6
2020-06-01;4;0.0;35;0.0;30.0;20;7;47.0;25;5.0;7;5.0;8;4
2020-06-08;3;0.0;31;0.0;18.0;21;7;42.0;17;5.0;5;6.0;0;3
2020-06-15;3;0.0;28;0.0;12.0;21;7;33.0;32;4.0;4;4.0;0;0
2020-06-22;3;0.0;27;0.0;16.0;21;8;31.0;11;4.0;4;4.0;0;0
2020-06-29;3;0.0;27;0.0;8.0;21;7;33.0;22;4.0;4;5.0;0;0
2020-07-06;3;0.0;24;0.0;12.0;20;6;35.0;26;4.0;4;5.0;0;0
2020-07-13;3;0.0;26;0.0;5.0;18;6;32.0;34;4.0;6;5.0;0;0
2020-07-20;2;0.0;27;0.0;6.0;19;5;29.0;22;3.0;6;4.0;0;0
2020-07-27;2;0.0;29;0.0;4.0;23;6;28.0;27;3.0;12;5.0;0;0
2020-08-03;2;0.0;30;0.0;4.0;21;5;27.0;28;3.0;5;4.0;0;0
2020-08-10;2;0.0;27;0.0;3.0;20;5;22.0;25;2.0;3;5.0;0;0
2020-08-17;2;0.0;28;0.0;4.0;23;6;25.0;16;3.0;4;5.0;0;0
2020-08-24;3;0.0;29;0.0;3.0;25;5;28.0;31;3.0;4;7.0;0;0
2020-08-31;3;0.0;30;0.0;48.0;26;6;33.0;19;3.0;4;8.0;0;0
2020-09-07;3;0.0;33;0.0;41.0;25;8;31.0;25;3.0;10;12.0;0;0
2020-09-14;3;0.0;35;0.0;14.0;24;8;30.0;40;3.0;11;11.0;9;2
