minggu_standar,week_start,anomaly_score,week_on_week_change,spike_from_mean,tren_0,tren_1,tren_2,tren_3,tren_4,tren_5,tren_6,tren_7,tren_8,tren_9,tren_10,tren_11,tren_12,tren_13
2020-01-06,2020-01-06,-0.0902265770707979,0.0,0.0,3,0.0,22,0.0,0.0,25,0,0.0,22,0.5,0,0.0,0,0
2020-01-13,2020-01-13,-0.1041663747892546,167.39130434782606,45.5621301775148,3,0.0,21,0.0,0.0,25,0,0.0,35,0.5,0,0.0,0,0
2020-01-20,2020-01-20,-0.0095186507622584,-0.406504065040647,26.07204116638078,4,0.0,23,0.0,0.0,25,0,0.0,31,1.0,0,0.0,0,0
2020-01-27,2020-01-27,0.0106434033504296,9.795918367346946,26.291079812206576,5,0.0,24,0.0,0.0,26,0,0.0,45,2.0,0,0.0,0,0
2020-02-03,2020-02-03,0.0377094717138808,5.947955390334569,9.090909090909092,4,0.0,25,0.0,0.0,26,0,0.5,32,2.0,0,0.0,0,0
2020-02-10,2020-02-10,0.0466084627559745,-2.456140350877189,3.2497678737233056,3,0.0,23,0.0,0.5,29,0,1.0,49,1.0,0,0.0,0,0
2020-02-17,2020-02-17,0.0409712549173928,5.755395683453246,4.440497335701599,3,0.0,22,0.0,0.0,28,0,1.0,53,1.0,0,0.0,0,0
2020-02-24,2020-02-24,0.0412259443863447,2.3809523809523725,3.9723661485319512,27,0.0,30,0.0,0.0,26,0,3.0,40,23.0,0,0.0,0,38
2020-03-02,2020-03-02,0.0431377782927224,-6.976744186046513,-2.8620988725065044,20,0.0,29,0.0,0.0,29,2,9.0,47,21.0,0,0.0,0,15
2020-03-09,2020-03-09,0.0097741997644391,57.85714285714285,34.24449506454062,100,0.0,60,0.0,0.0,23,9,45.0,46,100.0,6,2.0,0,64
2020-03-16,2020-03-16,-0.0331974920014432,-39.14027149321267,-16.718266253869967,66,0.0,95,0.0,0.0,19,22,82.0,50,62.0,12,7.0,0,65
2020-03-23,2020-03-23,0.0125183332479641,52.0446096654275,16.857142857142858,22,0.0,74,0.0,4.0,18,21,100.0,34,32.0,100,8.0,8,100
2020-03-30,2020-03-30,-0.007511719993707,70.90464547677261,53.7108301264431,13,0.0,43,0.0,97.0,18,16,88.0,36,18.0,36,7.0,10,57
2020-04-06,2020-04-06,0.0595256543814552,1.4306151645207432,35.95397890699904,10,0.0,40,0.0,97.0,19,12,85.0,32,12.0,20,9.0,7,30
2020-04-13,2020-04-13,0.1353728027502556,-4.654442877291965,8.463698355395106,7,0.0,35,0.0,100.0,17,9,75.0,29,8.0,10,9.0,0,26
2020-04-20,2020-04-20,0.1226685691718069,-7.988165680473369,-8.056171470805618,5,0.0,31,0.0,72.0,17,10,73.0,26,6.0,8,6.0,0,15
2020-04-27,2020-04-27,0.1200465684131932,18.0064308681672,7.114191900766144,5,0.0,31,0.0,61.0,18,8,57.0,20,5.0,8,5.0,8,12
2020-05-04,2020-05-04,0.1437137300061771,5.722070844686655,10.541310541310542,4,0.0,29,0.0,56.0,19,6,56.0,20,4.0,7,4.0,0,9
2020-05-11,2020-05-11,0.1188695966279627,9.664948453608256,14.113308749580955,4,0.0,27,0.0,59.0,18,8,58.0,22,4.0,5,5.0,0,5
2020-05-18,2020-05-18,0.1583261765751089,-7.050528789659227,0.3807106598984772,4,0.0,31,0.0,57.0,18,9,56.0,30,5.0,7,5.0,0,3
2020-05-25,2020-05-25,0.0551886443375924,-24.020227560050568,-20.37098376946009,4,0.0,36,0.0,64.0,20,7,52.0,28,6.0,9,5.0,0,6
2020-06-01,2020-06-01,0.1049647761203628,5.990016638935103,-11.52777777777778,4,0.0,35,0.0,30.0,20,7,47.0,25,5.0,7,5.0,8,4
2020-06-08,2020-06-08,0.1493404626531389,21.350078492935644,10.34975017844397,3,0.0,31,0.0,18.0,21,7,42.0,17,5.0,5,6.0,0,3
2020-06-15,2020-06-15,0.1577172002063396,0.6468305304010435,11.58121190390821,3,0.0,28,0.0,12.0,21,7,33.0,32,4.0,4,4.0,0,0
2020-06-22,2020-06-22,0.1437947034880995,-8.740359897172233,-2.001380262249828,3,0.0,27,0.0,16.0,21,8,31.0,11,4.0,4,4.0,0,0
2020-06-29,2020-06-29,0.1533474070723599,1.4084507042253502,-3.3881247903388125,3,0.0,27,0.0,8.0,21,7,33.0,22,4.0,4,5.0,0,0
2020-07-06,2020-07-06,0.1468644209160686,22.638888888888896,14.26722743448722,3,0.0,24,0.0,12.0,20,6,35.0,26,4.0,4,5.0,0,0
2020-07-13,2020-07-13,0.1157357014644089,-22.876557191392976,-9.01803607214429,3,0.0,26,0.0,5.0,18,6,32.0,34,4.0,6,5.0,0,0
2020-07-20,2020-07-20,0.1212843400323045,18.208516886930997,4.2408546455163485,2,0.0,27,0.0,6.0,19,5,29.0,22,3.0,6,4.0,0,0
2020-07-27,2020-07-27,0.1602953228794096,-2.2360248447204967,-0.2534854245880861,2,0.0,29,0.0,4.0,23,6,28.0,27,3.0,12,5.0,0,0
2020-08-03,2020-08-03,0.1542668475959899,-6.861499364675982,-2.4617431803060548,2,0.0,30,0.0,4.0,21,5,27.0,28,3.0,5,4.0,0,0
2020-08-10,2020-08-10,0.1616398542386968,10.77762619372442,3.5384124960153014,2,0.0,27,0.0,3.0,20,5,22.0,25,2.0,3,5.0,0,0
2020-08-17,2020-08-17,0.1105216190476469,-19.458128078817737,-12.391158740790354,2,0.0,28,0.0,4.0,23,6,25.0,16,3.0,4,5.0,0,0
2020-08-24,2020-08-24,0.152346488210387,4.281345565749239,-5.310656022214509,3,0.0,29,0.0,3.0,25,5,28.0,31,3.0,4,7.0,0,0
2020-08-31,2020-08-31,0.1491448226864046,14.07624633431086,6.3568010936432,3,0.0,30,0.0,48.0,26,6,33.0,19,3.0,4,8.0,0,0
2020-09-07,2020-09-07,0.1252041513333383,20.95115681233932,23.20785597381342,3,0.0,33,0.0,41.0,25,8,31.0,25,3.0,10,12.0,0,0
2020-09-14,2020-09-14,0.1669140032881839,0.1062699256110466,12.713131917439426,3,0.0,35,0.0,14.0,24,8,30.0,40,3.0,11,11.0,9,2
2020-09-21,2020-09-21,0.1696382244071229,1.8046709129511784,5.966850828729282,3,0.0,33,0.0,11.0,25,6,27.0,27,3.0,7,10.0,0,3
